Author,Betweenness,Cluster_Rank,Coreness,Decay,Degree,Diffusion,Dispersion,Eccentricity,Eigenvector,EvidentialSemiLocal,Harmonic,Katz,Load,Local_Structural,PageRank,Percolation,Radiality,SecondOrder,Semi_Local,Subgraph,VoteRank,Closeness,Class
J Kiros,0,3.806913354652048e-05,2,3060.90625,3.806913354652048e-05,3695.190125000001,0,8,5.905699784385579e-05,5831.508300978662,12163.838095239957,0.001857631,0,2,1.1243573174623136e-05,0,0.61317693,0.6067378086214855,5853,7.635612519516246e-05,0,0.22650694051782055,Nonawardee
N Jaitly…,0,3.806913354652048e-05,2,3060.90625,3.806913354652048e-05,3704.4020000000005,0,8,5.9095070433355406e-05,5828.303359,12163.838095239957,0.001858129,0,2,1.032013252499684e-05,0,0.61317693,0.6067378086214855,5850,7.7731407322172e-05,0,0.22650694051782055,Nonawardee
A Mnih,0,3.806913354652048e-05,3,3061.65625,7.613826709304096e-05,3942.6825000000003,0.3385174699294874,8,6.220672818240315e-05,5816.876355950261,12165.171428573289,0.001894493,2.5362514021665877e-09,6,1.818349381073567e-05,1.5851571263541173e-10,0.6131832746423019,0.6070231059803466,5839,9.04788020046786e-05,0,0.2265114156792725,Nonawardee
Cm Bishop,24542.5,2.5379422364346984e-05,2,3061.53125,7.613826709304096e-05,3798.3631250000008,0.1692587349647437,8,5.9705614166391455e-05,5827.580245818511,12165.004761906624,0.001891218,3.5568027342355345e-05,4,2.2844303208316893e-05,2.2230017088972107e-06,0.6131816883982107,0.6069685779066583,5849,8.126027519968183e-05,0,0.22651029687233137,Nonawardee
Bj Frey,0,5.710370031978072e-05,3,3061.40625,5.710370031978072e-05,3822.314,0,8,5.9792006273122077e-05,5836.983649418231,12164.671428573289,0.001875957,0,6,1.3645723585337031e-05,0,0.6131816883982107,0.6069350121065038,5859,8.455265759098365e-05,0,0.22651029687233137,Nonawardee
N Heess,49085,2.5379422364346984e-05,2,3061.78125,7.613826709304096e-05,3706.8585000000007,0,8,5.907821031049289e-05,5827.906437548901,12165.338095239957,0.00189112,7.11338807549374e-05,4,2.2695910848601535e-05,4.445867547183591e-06,0.6131848608863932,0.6070776284726025,5850,7.766908847727563e-05,0,0.22651253449726594,Nonawardee
F Birch…,0,5.710370031978072e-05,3,3061.65625,5.710370031978072e-05,3915.0468750000005,0,8,6.161803510431756e-05,5828.365103954506,12165.00476190662,0.00187715,0,6,1.4599841585177371e-05,0,0.6131848608863932,0.607044069,5851,8.606730256711985e-05,0,0.22651253449726594,Nonawardee
Nf Troje,0,5.710370031978072e-05,3,3063.53125,5.710370031978072e-05,3833.368250000001,0,8,6.101869698006493e-05,5856.429902,12167.838095239948,0.001877066,0,6,1.3817766037070487e-05,0,0.6132610006027728,0.6067740913608353,5879,8.41329345422194e-05,0,0.2265662507617212,Nonawardee
Dh Ballard,0,3.806913354652048e-05,2,3061.03125,3.806913354652048e-05,3706.8585000000007,0,8,5.9126636780191425e-05,5842.303347747847,12164.004761906624,0.001858149,0,2,1.0207664860956673e-05,0,0.6131785159100283,0.6067923594847826,5864,7.80550239806322e-05,0,0.22650805929160558,Nonawardee
Ds Touretzky,0,0,1,3060.65625,1.903456677326024e-05,3596.9301250000008,0,8,5.841557617022102e-05,5834.300430711944,12163.338095239957,0.001840483,0,0,6.451758773294291e-06,0,0.6131753434218458,0.6066496705818621,5856,7.2331968238769e-05,0,0.2265058217550872,Nonawardee
